,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
58,"[ISEB,Bachelor Business Science In Finance (Ca),Matriculated With Exemption]","[Above Average Tutoring,Alexander Forbes,Anglo American Platinum,Assima (Kaplan Learning Technologies),Cellucity,Chinese School,Ecentric Payment Systems,KPMG,Kraftgroupsa,Miscellaneous - Please Refer to CV,Openbox Software,Pres LES,Self]",[software developer],"[Tefl,Started QA Company Quality Cubed,Junior Business&Systems Analyst Qaulity Assurance,Accounts Assistant,Data Analyst,Accounts Assistant,Academic Tutor,Auditing Vacation Work,Sales Consultant,Barman Waitron Miscellaneous]",Software Developer,"[Software Developer,Junior Developer]","[C# .NET,TDD,Sql,HTML,DDD,Java,Mvp/Mvc,Ef 4.1,Quality Assurance,Systems Analysis,requirement specification,css,kendo,MSProject,data analysis,asp .NET,unit test case design,jquery,javascript,entity framework,sql performance tuning,java,cryptography,software security angular,software security,Accountancy,Finance,Management Accounting,Auditing,Kick Boxing,tax,Business Stratagy,Sailing]",59
59,[Matric],"[DesSoft Design Software,Intergraph Systems SA,Resonant Automation,Thyssenkrupp Engineering - Uhde,VCOPP Market Demand Trading]","[Control and Instrumentation Engineer,Control and Instrumentation Technician,Instrument Technician,Electrical Engineer Design,Design Engineer,Software Developer,C# Developer,.NET Developer,Data Capture,Database Administrator]","[Instrument Engineer,SmartPlant Instrumentation Senior Application Engineer]",Software Developer,"[EC&I Project Design Engineer,Application Engineer and Support and Training Manager]","[DesSoft P&ID,SmartPlant Instrumentation,DesSoft EDES,Instrument Design,Database Administration,Database Development,Electrical Control Instrumentation Design,Panel Design,DesSoft FDES,Microsoft Office,Engineering Design,Electrical Design,Mining & Minerals,Petrochemical,Racking & Routing,C#,VB,VB.NET,Procurement,Software Development,ASP.NET,Nuclear Energy,Web Design,Web Development,Oil & Gas]",60
60,"[Certificate Of Competancy,Certificate Of Competancy,Post Grad Dip Gis,Uml Modelling,Sap Abap/4,N.Dip It]","[Arivia.Kom,Eskom,Pretoria Software Solutions]",[Enterprise Architect],[],Senior Enterprise Architect,"[Solutions Architect Technical Specialist,Senior Developer]","[IT Strategy,Solution Architect,IT Consultant,Enterprise Architect,ESRI,GIS,Oracle,Smallworld,Systems Analysis,Business Analyst,Business Analysis]",61
61,"[Bachelor of Science Information Technology,Higher Certificate in Information Systems]","[CTI Education Group,Internet Solutions]","[Junior Java Developer,Junior Developer,Database Developer,Java Web Developer,Web Developer]",[],Information System Lecturer,[Software Developer Intern],"[Program Design,Processing and Logic Concepts,Database Design Concepts,Teaching,Database Management,Software Engineering,Personal Skills,Angular 4+,MVC,MVC \u2022,ASP.NET,Entity Framework,TypeScript,ASP.NET Core,Bootstrap 3/4 and Material Design,J2ME,Java SE,ASP.NET WebApi,Agile,Git,LinqToSQL,JQuery,IIS,C#,Normalization,CSS3,HTML5,Waterfall Model,SDLC,MSSQL,RESTful Web/Application Server: Tomcat,JPA Frameworks: Jboss Seam,Operating Systems: Linux and Microsoft Windows.   Programming Languages: Java,Glass Fish. Java Technologies: JDBC,Perl and php (not certified) Databases: MS SQL Web Technologies: JSF/Richfaces,JavaScript,J2EE,HTML,JSP,Struts 1.x,Computer Literacy,Microsoft Power Point,Netbeans IDE,Microsoft Excel,Microsoft Access,Adobe Dreamweaver,Eclipse IDE,Adobe Photoshop,Adobe Flash,Microsoft Word]",62
62,[Computer System Engineering],[Zensar Technologies],"[Java Developer,Qlickview Developer,Front End Web Developer,Developer,Junior Java Developer]",[],Java Developer,[],"[CSS3 \u2022,JSF,\u2022,Arduino,Servlets,Java(JSP,Json \u2022,Javascript(Angular Js) \u2022,C++ \u2022,HTML5 \u2022,JBDC,Web Services(Restful)) \u2022,PHP \u2022]",63
63,"[Software Engineer Degree,Computer Science Degree]","[Derivco,Hevron,SIX Financial Services,Swatch Group]",[],[Software Developer],Senior Software Developer,"[Software Developer and Data Analyst,Software Developer]","[OData,OOP,AngularJS,MSSQL,MVC,Web Apis/Services,C#,.NET,Javascript,APS .NET,Scrum Agile,Parallel Programming,Html5,Css3,TDD,JQuery,Unix,Java]",64
64,"[It Programming,2009]","[Braodband,Mint Management Technologies]","[Junior Developer,Junior Programer]",[],Junior Developer,"[Intern Developer,Learner]","[C#,VB .NET,SQL and Web development.,Microsoft Office,Project management,SQL,MVC,Business Communications]",65
65,[Post-Graduation in Production Engineering],"[Eabh,Hotel Grande Real de Santa Eulalia,Larsen and Toubro InfoTech,Luziana Lanna,Oracle]","[Language Consultant,Brazilian Portuguese]","[Software Developer Junior,Information Technology Specialist]",Language Instructor,"[Customer Support Analyst,Information Technology Assistant]","[ArcGis,Python,Brazilian Portuguese,Language Consultant,Information Technology,Computer Software]",66
66,[Bachelors degree Computer Engineering],[Ejada],"[ETL Developer,BI Specialist,Data Warehouse Analyst]",[],Senior ETL Developer,[],"[Banking,Flexcube,Oracle,Data warehouse,ETL,OBIEE,Informatica]",67
67,"[Cpim,B.Econ,Secondary Education]","[Aegis Insurance Company,African-Silver-Safaris,Agri Risk Specialists,Eskom - Megawatt Park,Oxfam GB,PC-2000,Sentraoes]",[],"[PC Software Developer and Mainframe Programmer,Personal Assistant,Training Manager End User Software,Project Manager,Purchasing Manager,Consultant]",Office Manager,"[Project Manager and Administrator,Project Manager]","[Administration,MS Office- Word, Excel, PowerPoint, Access,Lotus Smart Suite- 123, Wordpro, Freelance Graphic,Computer Typing,Windows And Windows Explorer,Business Process Development,Internet Explorer,Lotus Notes,User Training And Support,Software And System Development,Outlook Express,Project Management,Purchasing In Eskom I,Contract Management,Rpg Mainframe Programming]",68
68,"[MComm,Post Graduate Diploma In Project Management,Adv Project Management,Business Analysis,Structured Programming,Banking,Teaching Diploma,Senior Certificate]","[ABSA Group IT Solutions,Accenture C/O National Treasury,North West Government IT Finance,South African Revenue Service (SARS),Standard Bank Group IT Solutions,Tshepagalang Secondary School]","[Project manager,Process engineer; Business Analyst]","[Analyst Software Developer,Analyst Programmer,Senior Programmer,Junior Programmer,Teacher]",Operational Analyst,"[Systems Business Analyst,SNR Software Developer]","[Teaching (Math & Science),software development,Microsoft Office,Business analysis,JCL,Tso (Tp Monitor),Software Development,Microsoft Excel,Presentation + Jad Sessions,MS Word,MS Powerpoint,Business Analysis,Project Management,Software development,Educator,Software development in Delphi,Function point analysis,Software development in C++,Software development in Java,SAP BRF]",69
69,"[MBA,Post Grad Diploma Corporate Governance,Btd-Bachelor Of Training And Developmentlogy,Health Management Diploma,Diploma Hr Management And Training,IT,End User Computing,Matric]","[Aboutlearning,Anglo American Platinum,Edcon,Imperial Logisitics,LGSETA,Metro Cash & Carry,Nedbank,Primeserv Edutel & Intec BUS College,Protech Training,Stanford Business College,Youth for Christ NW]","[L & D Manager,Training Manager,ETQA Manager,Training Consultant,Trainer]","[Learning Designer Developer,Freelance Skills Development Facilitator,Learning Specialist,Learning Specialist,Learnership Facilitator Assessor,Project Manager,Junior Lecturer,Youth Programmes Manager,Senior Merchandiser]",Acting ETQA Manager,"[Training Officer HR Generalist,Production Support Consultant]","[quality assurance,Policy development,document design,cooaching,mentoring,Microsoft Office,Change Management,Computer Skills,Design And Develop Learning Materials,Leadership,Mentoring,Microsoft Powerpoint,Microsoft Word,Customer Support,Customer Relations,Lay Counseling,Design And Conduct Skills Audit,Performance Management,Project Management,Proposal Writing,Report Writing,Microsoft Excel,Research,Management Development,Strategic Management,Microsoft Outlook,Budgeting,Busineass Consulting,Balanced Scorecard,Job Analysis,Equities,Financial Management,Strategic Marketing,First Aid]",70
70,"[Certificated Computer Technician,Certificate In Business Management,Certificate In Pc Basics,A+ Certification,Basic Education]","[Bergers,Boss Propertyinvestments,Edgars,Old Mutual,Research Surveys,Seeff Properties,Self Employed]",[],"[Statistical Analyst,Mis Analyst Systems Support,Research Surveys Field Worker,Merchandiser,Window Dresser]",Property Developer,"[Computer Technician,Professional Property Consultant]","[Excel Advanced,Microsoft Office Suite,Systems Support,Office Administrator,Access,Visual Basic,Sap R/3]",71
71,"[J2se Java Programming Certificate,Senior Certificate]","[ADP Dealer Services,Marketing & Research.,Neil Harvey & Associates]",[],[],ap3 R&D KCML Analyst Programmer,"[Junior Powerhouse Software Developer Programmer,Data Capture]","[XML,Unix,Java,SQL,UML]",72
72,"[\u2022\tB.Com : Bachelor of Commerce (with Specialization in Informatics),\u2022\tDiploma : Business Management]","[Ansacall,ECR Computer Sales and Services,Sybaritic Trading / TechStop,Velisa Africa]","[ecommerce,e-commerce]",[Computer Technician],Business Developer,"[Owner / Self Employed,IT Controller / Sound Engineer / Video Producer]","[e-commerce,ecommerce,it manager,woocommerce,seo,project manager,social media,payfast,wordpress,webmaster,business developer,it technician,blogger,powerpoint,oscommerce,trainer,adwords,inbound marketing,mysql,lecturer,php,xml,presenting,mentor]",73
73,"[SAP Certified Technology Associate - SAP Authorization and,SAP Certified Application Associate \u2013 SAP Business Objects Access Control (C_GRCAC_10),National Diploma IT]","[Discovery Health,Gijima Ast.,Transnet Soc Ltd,Transnet SOC Ltd]",[SAP Authorizations],"[Intern ? Team Leader: Software development(c#),Intern Learner]",Junior SAP Authorizations,"[SAP HCM Authorizations (Intern),Junior System developer (Contract)]","[SAP,SQL,Information Systems,Development Software,Business Analysis]",74
74,[B Tech],"[Accenture solutions Sdn Bhd,Delloitte India Pvt ltd,IBM Malaysia Sdn Bhd]",[Solution analyst],[],Solution Analayst,"[Sr Systems Analyst,Developer]","[SAP BW,SAP BPC,SAP BO]",75
75,"[Bis Multimedia,Matric]","[EOH Microsoft Services,Evolution Software,King Price Insurance,Motani Lounge,Plumbum Software Solutions,SKY Marshall Security]","[C# Developer,Software Developer,Team Lead,Software Developer]","[Software Developer,PHP Web Application Developer,Software Developer,Security Supervisor]",Senior Software Developer,"[Development Team Lead,Development Team Lead]","[HTML,CSS,C#,ASP.Net,SQL,jQuery,javascript,C++,PHP,XML,Mysql,telerik]",76
76,[Microsoft Certified Solution Developer],[TNT Management Consultants],[Software Developer],[],Software Developer,[],"[C# programming,Microsoft Office,\xb7,Java programming,HTML5,JavaScript,CSS3]",77
77,"[Exam 70-483: Programming in C#,Web Design And Development,Sales,Project Management,Matric]","[Business Index,Fidelity Cash Master,Jamii Design,Old Mutual,Vodacom Golf Village Centorion]","[MVC C# .Net,Project Manager,Web Developer,IT Software Manager,IT Manager,Development Manager,Project Manager]","[Sales Representative,Sales Representative]",Senior Software Developer and Development Manager,"[Senior Web Developer and Project Manager,Financial Adviser]","[C#,Project Management,Repository Pattern,Backend Development,Bootstrap 3,Domain Driven Design,MVC 5,Entity Framework 6,Database Design,SQL Database,Css/Css3,Javascript,SEO,Html/Html 5,RESTfull API Development,MS Project,MVVM,Jquery,TFS,Python]",78
78,"[Business Analysis,Matric]","[Guardian Insurance,SACAP,Tygerberg Hospital & Stellenbosch University,Effective Intelligence,Kidcru, Department of Paediatrics, Stellenbosch UN,Careerjunction]","[Technical Business Analyst,Systems Analyst,Analyst Developer]","[Python Developer Analyst Developer,Data Manager,Data Manager,Data Programmer,Insurance and Customer Service Agent]",Systems Manager,"[Business Analyst,Development Team Lead Analyst Developer]","[SDLC,MVC Software Pattern,Perl Programming,Data Management,LAMP,Php 4 & 5 Scripting,Web Applications,SQL (Mysql, Sql Server),Spec Writing,VBA,Microsoft Access,Visio,Pylons (Python Web Framework),GIT,SVN,Meeting Facilitation,Presentations,Requirements Validation,Content Management,User Acceptance Testing,Management,Business Analysis,Python,HTML5,Stakeholder Analysis,Relational Database Design,Requirements Elicitation,Systems Analysis,CSS3,Django (Python Web Framework),Responsive Design,Agile Methodologies]",79
79,[NQF 4],"[Argility,Maxxor]",[],[],Analyst Developer,[Developer],"[C# analyst developer,Jquery,C#,javascript,MVC,Html,SQL server 2005 2008,razor,java servelets,java,CSS]",80
80,[Bsc Hons Degree],"[Asda,Emmanuels,F.B.C Bank,Zimbabwe Tennis]",[],"[Junior Business Analyst,Web Developer,Website Developer]",Call Centre Colleague,"[Call Centre Colleague,Business Systems Analyst]","[Databases,Business Systems Analysis,Business Systems Design.,Enterprise Networking,Business Communication]",81
81,[Bsc (Hons) Computer Science],"[Fidelity Life Assurance of Zimbabwe,Oratech Systems,Twenty Third Century Systems]",[],"[Oracle Applications Programmer,Oracle Systems Developer,Attach\xe9]",Group IT Manager Acting,"[Systems Consultant,Systems Administrator Business Applications and D]","[Oracle Pl/Sql,Oracle Forms And Reports,Windows Technologies,Visual Basic,Oracle Database Administration (8i, 9i),Microsoft Sql,Aix Operating System,Project Management]",82
82,"[Post Graduate Certificate in Software Engineering,MCSD: App Builder App Builder,ASP.NET Core,Building Apps with Xamarin,Diploma in Web Design]","[AIT Distribution,Aura Group,Corporate Support Services (CSS),Cyberplex Africa,Engineering Medical Fund(EMF),Invint,Multiple Companies,Netware Design]","[Senior Developer,Lead Developer,Senior C# Developer,DevOps Engineer,Full-Stack Developer,.NET Developer,Angular Developer]","[Software Development Consultant,Senior Software Developer,Software and Web Consultant,Web Solutions Developer,Software Engineer]",Full Stack Developer(Remote),"[Freelance Developer,Chief Technology Officer]","[MS SQL Server,CSS3,C#,DevOps,Visual Studio 2015,ASP.NET Web API,HTML,ASP.NET Webforms,Microsoft Azure,JavaScript,ASP.NET Core 1.0,Microsoft IIS,ASP.NET MVC,AngularJS,Microsoft Office,Xamarin,VB.NET,Microsoft SQL Server 2008,Angular 2,ASP.NET Core 2.0,MS Project,Project Management,TDD,Visual Studio 2017,MS Visio,JQuery,Azure Logic Apps,Devexpress,Azure Functions,XML,Postman,JSON,Yellowfin,Fiddler,Microsoft Power BI,Telerik,ChartJS,MongoDB,Java,AMCharts,express.js,Nodejs,Python]",83
83,"[B Level,B.A,A Level,O Level]","[Accenture Technology Solutions,Infogain india Pvt Ltd,SM Web Solution,SphinxWorld Biz Ltd]",[Software Developer],[Software Developer],Senior Software Engineer,"[Software Engineer,Software Engineer]","[VSS,GIT,NODEJS,WEB SERVICE,WINDOW SERVICE,TFS,CORE JAVA,ADO .NET,JQUERY,MONGODB,C#,SQL SERVER,ASP.NET,LINQ,WCF,ADO.NET]",84
84,"[National Diploma Information and technology,international computing driving license,Grade12]","[Datacentrix,GCRA,Tshwaneline,unhuru IT consultants]","[Software Developer,System Developer,Progremmar,IT Technician,Junior Business Analyst]",[Web designer Software developer],Senior IT Technician,"[IT Technicians,Junior Software Developer]","[web designing,ASP,Active Directory,VB Ajax,C#,A,Jvascrip,Oracle,VB2010,PHP,NodeJS,AngularJS]",85
